(-9.026938643686421, 1.7266011927295202)
(-9.027116702067861, 1.7265892000938476)
(-9.027002614009955, 1.7265967880818713)
(-9.02702649640772, 1.7265955102758443)
(-9.027079737303144, 1.7265912863194577)
(-9.027009219679854, 1.7265968226169026)
(-9.027024481010114, 1.7265960214795386)
(-9.02706936243125, 1.7265918774157596)
(-9.027041885456082, 1.7265943433648392)
(-9.027046825652791, 1.7265941239019726)
(-9.027061569356489, 1.7265924789636988)
(-9.027043947574663, 1.72659394696125)
(-9.027046850006391, 1.7265939587419927)
(-9.027059804364221, 1.7265922182247226)
(-9.027052022658323, 1.7265933048845412)
(-9.027053516152522, 1.7265930085549515)
(-9.027057534561807, 1.7265921976638416)
